Year	Category	Type	Code	Name	Substance	Unit	Factor	Margin	FactorWithMargin	ReliabilityScore	TemporalCorrelation	GeographicalCorrelation	TechnologicalCorrelation	DataCollection
2012	Summary	Industry	521CI	Federal Reserve banks, credit intermediation, and related activities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	3	1	4	1	
2012	Summary	Industry	523	Securities, commodity contracts, and investments	Carbon dioxide	kg/2018 USD, purchaser price	0.09	0	0.09	3	3	1	3	1	
2012	Summary	Industry	523	Securities, commodity contracts, and investments	Methane	kg/2018 USD, purchaser price	0	0	0	4	3	1	1	1	
2012	Summary	Industry	523	Securities, commodity contracts, and investments	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	523	Securities, commodity contracts, and investments	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	4	3	1	4	1	
2012	Summary	Industry	524	Insurance carriers and related activities	Carbon dioxide	kg/2018 USD, purchaser price	0.035	0	0.035	3	3	1	3	1	
2012	Summary	Industry	524	Insurance carriers and related activities	Methane	kg/2018 USD, purchaser price	0	0	0	3	3	1	1	1	
2012	Summary	Industry	524	Insurance carriers and related activities	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	524	Insurance carriers and related activities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	3	1	4	1	
2012	Summary	Industry	525	Funds, trusts, and other financial vehicles	Carbon dioxide	kg/2018 USD, purchaser price	0.169	0	0.169	3	3	1	3	1	
2012	Summary	Industry	525	Funds, trusts, and other financial vehicles	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	525	Funds, trusts, and other financial vehicles	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	525	Funds, trusts, and other financial vehicles	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	3	1	4	1	
2012	Summary	Industry	532RL	Rental and leasing services and lessors of intangible assets	Carbon dioxide	kg/2018 USD, purchaser price	0.122	0	0.122	3	3	1	3	1	
2012	Summary	Industry	532RL	Rental and leasing services and lessors of intangible assets	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	532RL	Rental and leasing services and lessors of intangible assets	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	3	1	
2012	Summary	Industry	532RL	Rental and leasing services and lessors of intangible assets	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	3	1	4	1	
2012	Summary	Industry	5411	Legal services	Carbon dioxide	kg/2018 USD, purchaser price	0.062	0	0.062	3	3	1	3	1	
2012	Summary	Industry	5411	Legal services	Methane	kg/2018 USD, purchaser price	0	0	0	3	3	1	1	1	
2012	Summary	Industry	5411	Legal services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	5411	Legal services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	4	3	1	4	1	
2012	Summary	Industry	5412OP	Miscellaneous professional, scientific, and technical services	Carbon dioxide	kg/2018 USD, purchaser price	0.091	0	0.091	3	3	1	3	1	
2012	Summary	Industry	5412OP	Miscellaneous professional, scientific, and technical services	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	3	1	1	1	
2012	Summary	Industry	5412OP	Miscellaneous professional, scientific, and technical services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	3	1	
2012	Summary	Industry	5412OP	Miscellaneous professional, scientific, and technical services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	3	3	1	4	1	
2012	Summary	Industry	5415	Computer systems design and related services	Carbon dioxide	kg/2018 USD, purchaser price	0.057	0	0.057	3	3	1	3	1	
2012	Summary	Industry	5415	Computer systems design and related services	Methane	kg/2018 USD, purchaser price	0	0	0	4	3	1	1	1	
2012	Summary	Industry	5415	Computer systems design and related services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	3	1	
2012	Summary	Industry	5415	Computer systems design and related services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	3	1	4	1	
2012	Summary	Industry	55	Management of companies and enterprises	Carbon dioxide	kg/2018 USD, purchaser price	0.122	0	0.122	3	3	1	3	1	
2012	Summary	Industry	55	Management of companies and enterprises	Methane	kg/2018 USD, purchaser price	0	0	0	3	3	1	1	1	
2012	Summary	Industry	55	Management of companies and enterprises	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	55	Management of companies and enterprises	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	3	3	1	3	1	
2012	Summary	Industry	561	Administrative and support services	Carbon dioxide	kg/2018 USD, purchaser price	0.085	0	0.085	3	3	1	3	1	
2012	Summary	Industry	561	Administrative and support services	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	561	Administrative and support services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	3	1	
2012	Summary	Industry	561	Administrative and support services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	3	1	4	1	
2012	Summary	Industry	562	Waste management and remediation services	Carbon dioxide	kg/2018 USD, purchaser price	0.257	0.001	0.258	3	3	1	2	1	
2012	Summary	Industry	562	Waste management and remediation services	Methane	kg/2018 USD, purchaser price	0.053	0	0.053	2	3	1	1	1	
2012	Summary	Industry	562	Waste management and remediation services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	1	1	
2012	Summary	Industry	562	Waste management and remediation services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.011	0	0.011	4	3	1	5	1	
2012	Summary	Industry	61	Educational services	Carbon dioxide	kg/2018 USD, purchaser price	0.178	0	0.178	3	3	1	3	1	
2012	Summary	Industry	61	Educational services	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	3	1	1	1	
2012	Summary	Industry	61	Educational services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	4	1	
2012	Summary	Industry	61	Educational services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	4	3	1	4	1	
2012	Summary	Industry	621	Ambulatory health care services	Carbon dioxide	kg/2018 USD, purchaser price	0.099	0	0.099	3	3	1	3	1	
2012	Summary	Industry	621	Ambulatory health care services	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	621	Ambulatory health care services	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	2	1	
2012	Summary	Industry	621	Ambulatory health care services	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	3	3	1	4	1	
2012	Summary	Industry	622	Hospitals	Carbon dioxide	kg/2018 USD, purchaser price	0.137	0	0.137	3	3	1	3	1	
2012	Summary	Industry	622	Hospitals	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	622	Hospitals	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	622	Hospitals	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	3	1	4	1	
2012	Summary	Industry	623	Nursing and residential care facilities	Carbon dioxide	kg/2018 USD, purchaser price	0.145	0	0.145	3	3	1	3	1	
2012	Summary	Industry	623	Nursing and residential care facilities	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	623	Nursing and residential care facilities	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	4	1	
2012	Summary	Industry	623	Nursing and residential care facilities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	3	1	4	1	
2012	Summary	Industry	624	Social assistance	Carbon dioxide	kg/2018 USD, purchaser price	0.156	0	0.156	3	3	1	3	1	
2012	Summary	Industry	624	Social assistance	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	624	Social assistance	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	4	1	
2012	Summary	Industry	624	Social assistance	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	3	1	4	1	
2012	Summary	Industry	711AS	Performing arts, spectator sports, museums, and related activities	Carbon dioxide	kg/2018 USD, purchaser price	0.067	0	0.067	3	3	1	3	1	
2012	Summary	Industry	711AS	Performing arts, spectator sports, museums, and related activities	Methane	kg/2018 USD, purchaser price	0	0	0	3	3	1	1	1	
2012	Summary	Industry	711AS	Performing arts, spectator sports, museums, and related activities	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	3	1	
2012	Summary	Industry	711AS	Performing arts, spectator sports, museums, and related activities	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	4	3	1	4	1	
2012	Summary	Industry	713	Amusements, gambling, and recreation industries	Carbon dioxide	kg/2018 USD, purchaser price	0.179	0	0.179	3	3	1	3	1	
2012	Summary	Industry	713	Amusements, gambling, and recreation industries	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	713	Amusements, gambling, and recreation industries	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	4	1	
2012	Summary	Industry	713	Amusements, gambling, and recreation industries	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	4	3	1	4	1	
2012	Summary	Industry	721	Accommodation	Carbon dioxide	kg/2018 USD, purchaser price	0.167	0	0.167	3	3	1	3	1	
2012	Summary	Industry	721	Accommodation	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	721	Accommodation	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	4	1	
2012	Summary	Industry	721	Accommodation	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	3	3	1	4	1	
2012	Summary	Industry	722	Food services and drinking places	Carbon dioxide	kg/2018 USD, purchaser price	0.218	0	0.218	3	3	1	3	1	
2012	Summary	Industry	722	Food services and drinking places	Methane	kg/2018 USD, purchaser price	0.002	0	0.002	4	3	1	1	1	
2012	Summary	Industry	722	Food services and drinking places	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	4	1	
2012	Summary	Industry	722	Food services and drinking places	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.005	0	0.005	4	3	1	4	1	
2012	Summary	Industry	81	Other services, except government	Carbon dioxide	kg/2018 USD, purchaser price	0.125	0	0.125	3	3	1	3	1	
2012	Summary	Industry	81	Other services, except government	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	81	Other services, except government	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	3	1	3	1	
2012	Summary	Industry	81	Other services, except government	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	3	1	4	1	
2012	Summary	Industry	HS	Housing	Carbon dioxide	kg/2018 USD, purchaser price	0.016	0	0.016	3	3	1	3	1	
2012	Summary	Industry	HS	Housing	Methane	kg/2018 USD, purchaser price	0	0	0	4	3	1	1	1	
2012	Summary	Industry	HS	Housing	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	HS	Housing	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	4	3	1	5	1	
2012	Summary	Industry	ORE	Other real estate	Carbon dioxide	kg/2018 USD, purchaser price	0.381	0	0.381	3	3	1	3	1	
2012	Summary	Industry	ORE	Other real estate	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	3	1	1	1	
2012	Summary	Industry	ORE	Other real estate	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	3	1	3	1	
2012	Summary	Industry	ORE	Other real estate	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	3	3	1	4	1	
2014	Detail	Industry	1111A0	Oilseed farming	Carbon dioxide	kg/2018 USD, purchaser price	0.63	0.099	0.729	4	2	1	4	1	
2014	Detail	Industry	1111A0	Oilseed farming	Methane	kg/2018 USD, purchaser price	0.002	0.001	0.003	4	2	1	1	1	
2014	Detail	Industry	1111A0	Oilseed farming	Nitrous oxide	kg/2018 USD, purchaser price	0.004	0	0.004	4	2	1	4	1	
2014	Detail	Industry	1111A0	Oilseed farming	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0.002	0.005	3	2	1	4	1	
2014	Detail	Industry	1111B0	Grain farming	Carbon dioxide	kg/2018 USD, purchaser price	1.374	0.136	1.51	4	2	1	4	1	
2014	Detail	Industry	1111B0	Grain farming	Methane	kg/2018 USD, purchaser price	0.013	0.002	0.015	2	2	1	1	1	
2014	Detail	Industry	1111B0	Grain farming	Nitrous oxide	kg/2018 USD, purchaser price	0.007	0	0.007	4	2	1	4	1	
2014	Detail	Industry	1111B0	Grain farming	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0.002	0.009	3	2	1	4	1	
2014	Detail	Industry	111200	Vegetable and melon farming	Carbon dioxide	kg/2018 USD, purchaser price	0.203	0.089	0.292	3	2	1	4	1	
2014	Detail	Industry	111200	Vegetable and melon farming	Methane	kg/2018 USD, purchaser price	0.001	0.001	0.001	4	2	1	1	1	
2014	Detail	Industry	111200	Vegetable and melon farming	Nitrous oxide	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	4	1	
2014	Detail	Industry	111200	Vegetable and melon farming	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0.001	0.003	3	2	1	4	1	
2014	Detail	Industry	111300	Fruit and tree nut farming	Carbon dioxide	kg/2018 USD, purchaser price	0.186	0.078	0.264	3	2	1	4	1	
2014	Detail	Industry	111300	Fruit and tree nut farming	Methane	kg/2018 USD, purchaser price	0.001	0.001	0.001	3	2	1	1	1	
2014	Detail	Industry	111300	Fruit and tree nut farming	Nitrous oxide	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	4	1	
2014	Detail	Industry	111300	Fruit and tree nut farming	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0.001	0.002	3	2	1	4	1	
2014	Detail	Industry	111400	Greenhouse, nursery, and floriculture production	Carbon dioxide	kg/2018 USD, purchaser price	0.625	0.174	0.8	4	2	1	4	1	
2014	Detail	Industry	111400	Greenhouse, nursery, and floriculture production	Methane	kg/2018 USD, purchaser price	0.001	0.001	0.002	4	2	1	1	1	
2014	Detail	Industry	111400	Greenhouse, nursery, and floriculture production	Nitrous oxide	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	4	1	
2014	Detail	Industry	111400	Greenhouse, nursery, and floriculture production	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0.003	0.005	3	2	1	4	1	
2014	Detail	Industry	111900	Other crop farming	Carbon dioxide	kg/2018 USD, purchaser price	0.544	0.117	0.662	3	2	1	4	1	
2014	Detail	Industry	111900	Other crop farming	Methane	kg/2018 USD, purchaser price	0.002	0.001	0.003	3	2	1	1	1	
2014	Detail	Industry	111900	Other crop farming	Nitrous oxide	kg/2018 USD, purchaser price	0.004	0	0.004	4	2	1	4	1	
2014	Detail	Industry	111900	Other crop farming	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0.002	0.005	3	2	1	4	1	
2014	Detail	Industry	112120	Dairy cattle and milk production	Carbon dioxide	kg/2018 USD, purchaser price	0.589	0.064	0.652	3	2	1	4	1	
2014	Detail	Industry	112120	Dairy cattle and milk production	Methane	kg/2018 USD, purchaser price	0.085	0.001	0.085	3	2	1	1	1	
2014	Detail	Industry	112120	Dairy cattle and milk production	Nitrous oxide	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	3	1	
2014	Detail	Industry	112120	Dairy cattle and milk production	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0.001	0.005	3	2	1	4	1	
2014	Detail	Industry	1121A0	Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming	Carbon dioxide	kg/2018 USD, purchaser price	0.567	0.052	0.618	4	2	1	4	1	
2014	Detail	Industry	1121A0	Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming	Methane	kg/2018 USD, purchaser price	0.081	0.001	0.081	4	2	1	1	1	
2014	Detail	Industry	1121A0	Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming	Nitrous oxide	kg/2018 USD, purchaser price	0.004	0	0.004	4	2	1	4	1	
2014	Detail	Industry	1121A0	Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0.001	0.004	4	2	1	4	1	
2014	Detail	Industry	112300	Poultry and egg production	Carbon dioxide	kg/2018 USD, purchaser price	0.584	0.048	0.632	4	2	1	4	1	
2014	Detail	Industry	112300	Poultry and egg production	Methane	kg/2018 USD, purchaser price	0.006	0	0.006	3	2	1	1	1	
2014	Detail	Industry	112300	Poultry and egg production	Nitrous oxide	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	3	1	
2014	Detail	Industry	112300	Poultry and egg production	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0.001	0.004	3	2	1	4	1	
2014	Detail	Industry	112A00	Animal production, except cattle and poultry and eggs	Carbon dioxide	kg/2018 USD, purchaser price	0.207	0.068	0.276	4	2	1	4	1	
2014	Detail	Industry	112A00	Animal production, except cattle and poultry and eggs	Methane	kg/2018 USD, purchaser price	0.035	0.001	0.036	2	2	1	1	1	
2014	Detail	Industry	112A00	Animal production, except cattle and poultry and eggs	Nitrous oxide	kg/2018 USD, purchaser price	0.002	0	0.002	4	2	1	4	1	
2014	Detail	Industry	112A00	Animal production, except cattle and poultry and eggs	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0.001	0.002	4	2	1	4	1	
2014	Detail	Industry	113000	Forestry and logging	Carbon dioxide	kg/2018 USD, purchaser price	0.179	0.048	0.227	4	2	1	4	1	
2014	Detail	Industry	113000	Forestry and logging	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Detail	Industry	113000	Forestry and logging	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Detail	Industry	113000	Forestry and logging	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0.001	0.002	4	2	1	4	1	
2014	Detail	Industry	114000	Fishing, hunting and trapping	Carbon dioxide	kg/2018 USD, purchaser price	0.259	0.046	0.305	4	2	1	4	1	
2014	Detail	Industry	114000	Fishing, hunting and trapping	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Detail	Industry	114000	Fishing, hunting and trapping	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Detail	Industry	114000	Fishing, hunting and trapping	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0.001	0.002	3	2	1	3	1	
2014	Detail	Industry	115000	Support activities for agriculture and forestry	Carbon dioxide	kg/2018 USD, purchaser price	0.217	0	0.217	3	2	1	3	1	
2014	Detail	Industry	115000	Support activities for agriculture and forestry	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Detail	Industry	115000	Support activities for agriculture and forestry	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Detail	Industry	115000	Support activities for agriculture and forestry	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.001	0	0.001	3	2	1	4	1	
2014	Detail	Industry	211000	Oil and gas extraction	Carbon dioxide	kg/2018 USD, purchaser price	0.489	0.046	0.535	4	2	1	3	1	
2014	Detail	Industry	211000	Oil and gas extraction	Methane	kg/2018 USD, purchaser price	0.021	0.001	0.021	4	2	1	1	1	
2014	Detail	Industry	211000	Oil and gas extraction	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Detail	Industry	211000	Oil and gas extraction	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.005	0.001	0.006	3	2	1	2	1	
2014	Detail	Industry	212100	Coal mining	Carbon dioxide	kg/2018 USD, purchaser price	0.506	0.116	0.623	3	2	1	4	1	
2014	Detail	Industry	212100	Coal mining	Methane	kg/2018 USD, purchaser price	0.051	0.001	0.053	4	2	1	1	1	
2014	Detail	Industry	212100	Coal mining	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Detail	Industry	212100	Coal mining	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0.002	0.005	3	2	1	3	1	
2014	Detail	Industry	212230	Copper, nickel, lead, and zinc mining	Carbon dioxide	kg/2018 USD, purchaser price	1.57	0.041	1.612	4	2	1	4	1	
2014	Detail	Industry	212230	Copper, nickel, lead, and zinc mining	Methane	kg/2018 USD, purchaser price	0.002	0.001	0.003	4	2	1	1	1	
2014	Detail	Industry	212230	Copper, nickel, lead, and zinc mining	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Detail	Industry	212230	Copper, nickel, lead, and zinc mining	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.007	0.001	0.007	3	2	1	3	1	
2014	Detail	Industry	2122A0	Iron, gold, silver, and other metal ore mining	Carbon dioxide	kg/2018 USD, purchaser price	1.094	0.056	1.149	3	2	1	3	1	
2014	Detail	Industry	2122A0	Iron, gold, silver, and other metal ore mining	Methane	kg/2018 USD, purchaser price	0.003	0.001	0.003	4	2	1	1	1	
2014	Detail	Industry	2122A0	Iron, gold, silver, and other metal ore mining	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Detail	Industry	2122A0	Iron, gold, silver, and other metal ore mining	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.011	0.001	0.012	2	2	1	2	1	
2014	Detail	Industry	212310	Stone mining and quarrying	Carbon dioxide	kg/2018 USD, purchaser price	0.353	0.03	0.383	3	2	1	4	1	
2014	Detail	Industry	212310	Stone mining and quarrying	Methane	kg/2018 USD, purchaser price	0.001	0	0.002	4	2	1	1	1	
2014	Detail	Industry	212310	Stone mining and quarrying	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Detail	Industry	212310	Stone mining and quarrying	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0	0.003	3	2	1	4	1	
2014	Detail	Industry	2123A0	Other nonmetallic mineral mining and quarrying	Carbon dioxide	kg/2018 USD, purchaser price	0.693	0.058	0.75	3	2	1	4	1	
2014	Detail	Industry	2123A0	Other nonmetallic mineral mining and quarrying	Methane	kg/2018 USD, purchaser price	0.002	0.001	0.002	4	2	1	1	1	
2014	Detail	Industry	2123A0	Other nonmetallic mineral mining and quarrying	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Detail	Industry	2123A0	Other nonmetallic mineral mining and quarrying	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0.001	0.004	3	2	1	4	1	
2014	Detail	Industry	213111	Drilling oil and gas wells	Carbon dioxide	kg/2018 USD, purchaser price	0.189	0	0.189	3	2	1	3	1	
2014	Detail	Industry	213111	Drilling oil and gas wells	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Detail	Industry	213111	Drilling oil and gas wells	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Detail	Industry	213111	Drilling oil and gas wells	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.003	3	2	1	3	1	
2014	Detail	Industry	21311A	Other support activities for mining	Carbon dioxide	kg/2018 USD, purchaser price	0.251	0	0.251	3	2	1	4	1	
2014	Detail	Industry	21311A	Other support activities for mining	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Detail	Industry	21311A	Other support activities for mining	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Detail	Industry	21311A	Other support activities for mining	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	3	2	1	3	1	
2014	Detail	Industry	221100	Electric power generation, transmission, and distribution	Carbon dioxide	kg/2018 USD, purchaser price	4.344	0	4.344	2	2	1	2	1	
2014	Detail	Industry	221100	Electric power generation, transmission, and distribution	Methane	kg/2018 USD, purchaser price	0.004	0	0.004	4	2	1	1	1	
2014	Detail	Industry	221100	Electric power generation, transmission, and distribution	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	2	2	1	2	1	
2014	Detail	Industry	221100	Electric power generation, transmission, and distribution	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.014	0	0.014	2	2	1	1	1	
2014	Detail	Industry	221200	Natural gas distribution	Carbon dioxide	kg/2018 USD, purchaser price	0.198	0	0.199	3	2	1	2	1	
2014	Detail	Industry	221200	Natural gas distribution	Methane	kg/2018 USD, purchaser price	0.009	0	0.009	4	2	1	1	1	
2014	Detail	Industry	221200	Natural gas distribution	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Detail	Industry	221200	Natural gas distribution	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	3	2	1	4	1	
2014	Detail	Industry	221300	Water, sewage and other systems	Carbon dioxide	kg/2018 USD, purchaser price	0.14	0	0.14	3	2	1	3	1	
2014	Detail	Industry	221300	Water, sewage and other systems	Methane	kg/2018 USD, purchaser price	0.037	0	0.037	4	2	1	1	1	
2014	Detail	Industry	221300	Water, sewage and other systems	Nitrous oxide	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Detail	Industry	221300	Water, sewage and other systems	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	3	2	1	2	1	
2014	Detail	Industry	230301	Nonresidential maintenance and repair	Carbon dioxide	kg/2018 USD, purchaser price	0.374	0	0.374	3	2	1	4	1	
2014	Detail	Industry	230301	Nonresidential maintenance and repair	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Detail	Industry	230301	Nonresidential maintenance and repair	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Detail	Industry	230301	Nonresidential maintenance and repair	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.031	0	0.031	4	2	1	5	1	
2014	Detail	Industry	230302	Residential maintenance and repair	Carbon dioxide	kg/2018 USD, purchaser price	0.307	0	0.307	3	2	1	3	1	
2014	Detail	Industry	230302	Residential maintenance and repair	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Detail	Industry	230302	Residential maintenance and repair	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Detail	Industry	230302	Residential maintenance and repair	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.035	0	0.035	4	2	1	5	1	
2014	Detail	Industry	233210	Health care structures	Carbon dioxide	kg/2018 USD, purchaser price	0.235	0	0.235	3	2	1	3	1	
2014	Detail	Industry	233210	Health care structures	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	3	2	1	1	1	
2014	Detail	Industry	233210	Health care structures	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
